,Text,Difficulty,Difficulty Annotator 1,Difficulty Annotator 2,Difficulty Annotator 3
348,"J’aimerais vous présenter un nouveau collègue, Jacques Servat qui arrive de Madrid où il vient
 de passer cinq ans dans un grand groupe d’ameublement au poste de chef d’équipe des commerciaux.",,B1,B1,B1
349,"À partir de
 maintenant, il travaillera avec nous dans l’équipe commerciale en tant que responsable des ventes.",,B1,B1,B1
350,"Avant de laisser la
 parole à Monsieur Servat, qui saura mieux que moi parler de lui-même, j’aimerais lui souhaiter la bienvenue dans notre
 entreprise ainsi que beaucoup de succès dans son travail.",,B1,B1,B1
351,"Du courage également, car l’année s’annonce difficile.",,B1,B1,B1
352,Bonjour à tous !,,A1,A1,A1
353,Je crois que vous savez que Christian est malade et que nous ne connaissons pas pour l’instant la durée de son absence.,,B1,B1,B1
354,"En attendant, pour le remplacer, je vous présente notre nouveau cuisinier.",,B1,B1,B1
355,"Il a une
 longue expérience dans un grand nombre de restaurants, mais moins en restauration collective.",,B1,B1,B1
356," Je vous
 demanderai de tout lui montrer et de le seconder cette semaine.",,B1,B1,B1
357,Je compte sur vous ainsi que sur vous tous !,,B1,B1,B1
358,Voici votre nouvelle stagiaire jusqu’au mois de mai.,,B1,B1,B1
359,"Ou peut-être jusqu’à la fin juin, en fonction de
 son contrat.",,B1,B1,B1
360,Nous en reparlerons.,,A2,A2,A2
361,"Il faudrait d’abord lui faire visiter un peu les chambres, la salle de restaurant, et
 le reste.",,B1,B1,B1
362,"Elle travaillera principalement à l’accueil au début, puis en salle pour assurer le service des clients avec les
 équipes du midi et du soir.",,B1,B1,B1
363,Merci à tous de bien l’accueillir!,,B1,B1,B1
364,"À la radio, le journaliste  a conservé les intonations de son Pays basque natal dans le
 Sud de la France.",,B1,B1,B1
365,"Une exception, dans un paysage audiovisuel où il y a beaucoup de règles.",,B1,B1,B1
366,Peut-on évoquer des sujets sérieux avec un accent du Sud de la France ?,,B1,B1,B1
367,Faire de la philosophie avec des intonations alsaciennes ?,,B1,B1,B1
368,Développer une pensée profonde en parlant comme les gens du Nord ?,,B1,B1,B1
369,"Longtemps, la France a répondu non.",,B1,B1,B1
370,Le seul « beau parler » était celui des élites parisiennes et ceux qui rêvaient de s’élever socialement devaient l’adopter.,,B1,B1,B1
371,"Avant lui, les journalistes qui avaient gardé l’accent du Midi présentaient le rugby, la météo ou les spécialités régionales, au nom d’une loi très stricte : « On n’accepte
 pas à la Comédie-Française que les comédiens parlent avec un accent régional », disait, voilà dix ans,
 le président de France Télévision.",,B1,B1,B1
372,« Il est difficile d’imaginer un accent trop fort pour présenter un journal national.,,B1,B1,B1
373,Monsieur a été le premier à animer une émission dite « sérieuse » à la radio puis à la télévision.,,B1,B1,B1
374,L’entrée du journaliste basque dans le monde audiovisuel n’avait donc rien d’évident.,,B1,B1,B1
375,"« J’ai longtemps travaillé en presse écrite », indique-t-il.",,B1,B1,B1
376,"« C’est en représentant mon journal,
 à l’émission , à la radio, que j’ai rencontré le Monsieur, qui dirigeait alors la station.",,B1,B1,B1
377,"En 1999, il m’a proposé de devenir chef du service politique.",,B1,B1,B1
378,"
 Curieusement, l’actuel président du groupe Radio-France ne se souvient pas du débat après l’arrivée de Monsieur
 : « Son arrivée n’a pas été critiquée, car il était évident que Monsieur avait beaucoup de présence à la radio.",,B1,B1,B1
379,Son accent est si naturel que cela n’a posé aucun problème.,,B1,B1,B1
380,"
 Son passage à Radio Luxembourg, en 2003, a été bien moins facile.",,B1,B1,B1
381," Alors le directeur de
 l’information, raconte : « Dans l’équipe de direction, j’étais le seul à défendre sa candidature.",,B1,B1,B1
382,Personne ne discutait ses grandes qualités professionnelles.,,B1,B1,B1
383,"Mais d’autres n’étaient pas d’accord : « Son accent
 est tellement fort que l’auditeur va oublier ce qu’il dit », « La politique est un sujet trop sérieux pour être
 confié à une intonation aussi chantante* »
 
 
 À la fin, Philippe Labro, alors vice-président de la station de radio, a expliqué : « Il y a deux possibilités :
 soit son accent lui permettra d’être connu et ce sera très bien.",,B1,B1,B1
384,Soit on le trouvera ridicule et ce sera une catastrophe.,,B1,B1,B1
385,"Selon moi, le risque est trop grand pour qu’on le prenne.",,B1,B1,B1
386,« J’ai vraiment dû beaucoup insister pour être choisi ! rapporte Monsieur.,,B1,B1,B1
387,Puis il précise : « Je n’ai jamais cherché à corriger ou à accentuer mon accent.,,B1,B1,B1
388,Je mets tous mes efforts et toute mon énergie exclusivement dans le travail.,,B1,B1,B1
389,"
 Depuis la salle panoramique de ce restaurant,
 la vue sur la ville  est magnifique.",,B1,B1,B1
390,"C’est
 le cadre idéal pour un dîner romantique, mais
 c’est aussi un endroit tranquille pour les repas
 d’affaires.",,B1,B1,B1
391,La cuisine est classique et à base de produits régionaux.,,B1,B1,B1
392,"Le menu « tout légumes » est
 très apprécié des personnes qui ne mangent ni
 viande, ni poisson.",,B1,B1,B1
393,"Le menu « tradition » permet de goûter d’excellents
 produits, comme la truite saumonée, le gâteau de
 légumes ou le dessert au chocolat.",,B1,B1,B1
394,"Les serveurs
 sont mal organisés, c’est dommage.",,B1,B1,B1
395,"Dans cet établissement bien connu du centre de
 Lyon, on nous propose une cuisine gourmande
 pour un excellent rapport qualité-prix.",,B1,B1,B1
396,C’est une très bonne adresse pour les amateurs de viande et de charcuterie.,,B1,B1,B1
397,"Si vous ne mangez que des
 légumes, ce restaurant n’est pas pour vous !",,B1,B1,B1
398,Le chef cuisine des spécialités de la région avec des produits de saison.,,B1,B1,B1
399,On passe un agréable moment dans ce restaurant même si l’ambiance animée est un peu trop bruyante.,,B1,B1,B1
400,Un lieu plutôt réservé aux repas en famille ou entre amis.,,B1,B1,B1
401,Les serveurs sont sympas et très attentionnés.,,B1,B1,B1
402,"La cuisine proposée par Luis, un jeune cuisinier
 brésilien, est authentique et 100 % faite maison.",,B1,B1,B1
403,Deux types de plats sont proposés : des plats typiques d'ici et des plats de son pays d’origine.,,B1,B1,B1
404,Au menu : saucisson lyonnais mais aussi gratin de patates douces ou plats de légumes colorés.,,B1,B1,B1
405,C’est délicieux de l’entrée jusqu’au dessert.,,B1,B1,B1
406,"En salle,
 les serveurs sont souriants mais peu efficaces.",,B1,B1,B1
407,"Si
 le soleil de Rio arrive jusqu’à Lyon, vous pourrez
 déguster votre repas en terrasse en écoutant de
 la samba.",,B1,B1,B1
408,Un lieu un peu trop bruyant surtout en fin de semaine.,,B1,B1,B1
409,Les deux jeunes cuisiniers du Piano travaillent exclusivement avec des produits frais.,,B1,B1,B1
410,Vous pourrez découvrir leur cuisine gourmande et naturelle à travers les meilleures recettes lyonnaises.,,B1,B1,B1
411,Le menu est imaginé chaque jour en fonction de ce que les chefs trouvent au marché de Lyon.,,B1,B1,B1
412,"Ils vous feront
 goûter, par exemple, du boudin noir aux pommes
 ou la célèbre saucisse de Lyon.",,B1,B1,B1
413,Il n’y a cependant pas de plats de légumes à la carte.,,B1,B1,B1
414,"Le service est très professionnel, les serveurs savent
 conseiller les clients.",,B1,B1,B1
415,Le restaurant possède un petit salon calme pour les réunions et les dîners privés.,,B1,B1,B1
416,"En France, un enfant sur cinq naît dans un foyer bilingue.",,B1,B1,B1
417,Il n’y a pas beaucoup de différences dans le développement du langage entre un enfant bilingue et un enfant monolingue.,,B1,B1,B1
418," À 24 mois, les enfants connaissent une cinquantaine de mots, souligne Madame la
 linguiste.",,B1,B1,B1
419,"Pour les enfants bilingues, ces mots sont partagés entre les deux langues.",,B1,B1,B1
420,"» Cette situation
 pourrait laisser croire qu’il y a un retard dans l’apprentissage d’une des deux langues, mais
 « quand on étudie le vocabulaire des enfants bilingues et monolingues à trois ans, on trouve le même
 nombre de mots, en moyenne.",,B1,B1,B1
421,Chaque famille a sa propre expérience du bilinguisme.,,B1,B1,B1
422,"Ainsi, Madame, qui est irlandaise et
 vit à lieu, témoigne : « En France, si je parle anglais à mon fils, il me répond plutôt en
 français.",,B1,B1,B1
423,"Ce n’est qu’en Irlande, là où vit ma famille, et au bout de quelques semaines, qu’il fait des
 phrases en anglais.",,B1,B1,B1
424,"Lorsqu’il m’arrive de me fâcher contre mon fils, j’utilise spontanément ma langue
 maternelle.",,B1,B1,B1
425,Je regrette tout de suite après car j’ai peur qu’il associe la langue anglaise à quelque chose de désagréable.,,B1,B1,B1
426,Il est danois.,,A1,A1,A1
427,"Pour lui, parler sa langue maternelle avec ses filles, c’est surtout transmettre
 quelque chose de sa culture.",,B1,B1,B1
428,« Je leur apprends des chansons en danois et elles regardent aussi des dessins animés en danois.,,B1,B1,B1
429,"Mais dans leur vie quotidienne, comme à l’école ou avec leurs
 copains, c’est clair, c’est le français qui l’emporte.",,B1,B1,B1
430,Ce n’est vraiment pas simple de transmettre sa langue lorsqu’on n’est pas dans son pays d’origine !,,B1,B1,B1
431,"
 Elle évoque un autre point : « Encore aujourd’hui, certains pensent qu’un
 enfant élevé dans deux langues différentes réussit moins bien à l’école.",,B1,B1,B1
432,Ce qui est faux.,,A1,A1,A1
433,"De plus,
 les langues n’ont pas la même image dans la société.",,B1,B1,B1
434,"« Malheureusement, on voit souvent la
 capacité à parler anglais comme une force, mais pas forcément d’autres langues, regrette Madame.",,B1,B1,B1
435,Je reçois par exemple des couples franco-espagnols qui n’ont qu’une envie : que leur enfant apprenne l’anglais.,,B1,B1,B1
436,C’est un fait inquiétant qu’on constate dans toutes les capitales européennes : les touristes séjournent de plus en plus dans des appartements loués sur des sites internet.,,B1,B1,B1
437,"Laurent Lopez,
 directeur d’hôtel, est directement concerné : « notre chiffre d’affaire baisse de 10 % chaque année
 depuis 3 ans.",,B1,B1,B1
438,"» En parallèle, ce nouveau mode d’hébergement a provoqué une augmentation
 du prix du mètre carré.",,B1,B1,B1
439,"Ainsi, à Barcelone, le quartier historique se vide peu à peu de ses
 habitants qui, pour des raisons économiques, préfèrent déménager en banlieue.",,B1,B1,B1
440,"Aujourd’hui,
 le quartier ne compte plus que 15 624 résidents à l’année alors qu’ils étaient 27 470 en 2006.",,B1,B1,B1
441,"Par ailleurs, Elle, qui habite à Paris, nous explique que son quotidien est devenu très
 difficile en raison des locations saisonnières : « Les arrivées et départs à n’importe quelle heure
 de la journée, les fêtes toute la nuit, les groupes de touristes qui envahissent le hall de l’immeuble avec
 leurs valises… On ne se sent plus chez soi.",,B1,B1,B1
442,"Nous ne voulions pas d’ascenseur, mais un voisin qui loue
 son appartement en voulait absolument un pour attirer les touristes.",,B1,B1,B1
443,"Ça nous a donc coûté de l’argent,
 s’énerve-t-elle.",,B1,B1,B1
444,J’ai été me plaindre à la mairie mais ça n’a servi à rien !,,B1,B1,B1
445,Le marché de la location saisonnière peut rapporter beaucoup d’argent : en moyenne 350 €,,B1,B1,B1
446,supplémentaires par mois pour les propriétaires de logements loués sur les sites internet de locations saisonnières à lieu.,,B1,B1,B1
447,"Dans cette ville, tout comme à Paris et Londres, les
 autorités ont déjà décidé de mettre en place des règles pour limiter la durée de location.",,B1,B1,B1
448,Les sites internet de locations saisonnières protestent et affirment que les problèmes de logement existaient déjà avant leur arrivée.,,B1,B1,B1
449,"Pour les habitants des quartiers historiques, la vie n’est plus la même : les rues pleines de
 touristes perdent peu à peu leurs magasins de quartier.",,B1,B1,B1
450,"Fini les boutiques d’autrefois, adieu
 les voisins qu’on connaît bien.",,B1,B1,B1
451,"Par ici, les mariés.",,A1,A1,A1
452,C’est pour la photo !,,A1,A1,A1
453,Marc Chagall termine ce qu’il pense être son dernier tableau : Les mariés de la Tour Eiffel.,,B2,B2,B2
454,"Alors que la Seconde Guerre mondiale est sur le point d’éclater, le peintre y raconte l’histoire de sa vie : ses racines juives, son parcours, sa peur d’une nouvelle guerre, mais surtout, son amour, toujours grandissant, pour Bella Rosenfeld, son épouse, sa muse.",,B2,B2,B2
455,"C’est elle, là, au pied de la Tour Eiffel, enlacée par Chagall lui-même.",,B2,B2,B2
456,Ils chevauchent un coq à taille humaine.,,B2,B2,B2
457,"Le gallinacé symbolise à la fois, la cérémonie des Kapparot célébrée traditionnellement à l’approche de Yom Kippour et la France, terre d’accueil depuis le début des années 20 pour ce couple juif d’origine russe.",,B2,B2,B2
458,"Un pays en paix, mais jusqu’à quand ?",,B1,B2,B2
459,"À la manière des surréalistes, dans un transport poétique mélange de rêve et de réalité, Chagall évoque à coup de détails absurdes, d’explosion de couleurs et dans une symétrie d’idées, la vie et le temps qui passent.",,B2,B2,B2
460,"Il peint non pas ce qu’il voit, mais ce qu’il ressent.",,B2,B2,B2
461,"Et que d’informations dans cette toile qui se lit de la gauche vers la droite, du passé au futur !",,B2,B2,B2
462,"Sous un soleil incandescent, un jeune couple yiddish se marie sous une houppa.",,C1,B2,B2
463,"Nous sommes en 1915, à Vitebsk, la ville natale de Marc Chagall.",,B2,B2,B2
464,"Il vient de demander la main de Bella et l’avenir semble briller, mais… Quand l’artiste donne le dernier coup de pinceau à sa toile, les nazis ont déjà commencé à expulser les juifs, contraints de quitter leurs maisons, emportant ce qu’ils peuvent.",,B2,B2,B2
465,"Dans le chaos qui s’ensuit, un candélabre à trois branches, symbole de la lumière spirituelle, est renversé.",,B2,B2,B2
466,"Et vous l’entendez, ce violon qui joue du klezmer, la musique traditionnelle des juifs itinérants ?",,B2,B2,B2
467,"Tout ça raconte la folie des hommes, la montée de l'antisémitisme et la guerre qui gronde.",,B2,B2,B2
468,"Chagall, en sentinelle, tire le signal d'alarme.",,B2,B2,B2
469,"À droite, l’artiste peint un arbre touffu, tout à la fois prometteur et inquiétant.",,B2,B2,B2
470,Quel avenir pour lui et Bella ?,,B1,B2,B2
471,"« Si toute vie va inévitablement vers sa fin nous devons durant la nôtre, la colorier avec nos couleurs d'amour et d'espoir », disait Chagall.",,B2,B2,B2
472,"Il nous offre donc à jamais ses violets profonds, ses rouges sang, ses jaunes éclatants et ses bleus à l’âme, mais ça, c’est une autre histoire.",,B2,B2,B2
473,Vers une annulation des dettes africaines ?,,B2,B2,B2
474,"Mais pourquoi les économies africaines seraient plus capables de faire face à la dette dans six mois, alors qu’elles ne… elles ont déjà perdu, vous le disiez, plusieurs points de croissance, voire elles sont en récession ?",,B2,B2,B2
475,"Alain Le Roy, envoyé spécial du Président français pour l’initiative Afrique en réponse au Covid
  Eh non, justement, c’est… c’est… On analyse les endroits dans lesquels la dette va être… les pays dans lesquels la dette n’est pas soutenable.",,B2,B2,B2
476,"Et pour ces pays-là, il est très probable, je ne peux pas le garantir à l’avance, mais c’est… c’est évidemment le sens…
  
  C'est une annulation.",,B2,B2,B2
477,"Alain Le Roy, envoyé spécial du Président français pour l’initiative Afrique en réponse au Covid
  Une annulation, une annulation, une très forte restructuration, ou bien, dans certains cas, une annulation des dettes.",,B2,B2,B2
478,"Le Président Macron avait été très clair, il avait parlé d’annulation de dette.",,B2,B2,B2
479,Le Président Macky… Sénégal l’avait bien dit aussi.,,B2,B2,B2
480,"Alors après, on va bien distinguer dans les dettes : les dettes publiques, privées, multilatérales…Voilà, parce que de quelles dettes parle-t-on ?",,B2,B2,B2
481,C’est ça la vraie question.,,A2,A1,A1
482,"Yukihiro Kimura, inventeur du recyclage des couches-culottes en combustible, Yonago, Japon.",,B2,B2,B2
483,"700 000 tonnes de couches usagées sont jetées chaque année au Japon, ce qui représente jusqu’à 25 % des déchets incinérés dans certaines communes.",,B2,B2,B2
484,"Il y a neuf ans, cet ancien coureur automobile responsable d’une écurie pense qu’il est de son devoir de s’atteler à ce problème écologique dont personne ne s’était occupé jusqu’alors.",,B2,B2,B2
485,J’ai mis tout ce que j’avais dans ce projet.,,A2,A2,A2
486,"Mon énergie, mon temps, mon argent.",,A2,A2,A2
487,En un mot : toute ma vie.,,A2,A2,A2
488,"Alors autour de moi, on m’a dit :  T’es sûr que ça vaut le coup ?",,B2,B2,B2
489,Pourquoi tu prends ce risque ?,,A2,A2,A2
490,"Au final, le fait que tout le monde était contre moi a renforcé ma détermination.",,B2,B2,B2
491,"Yukihiro a déjà investi 2,3 millions d’euros dans son procédé unique au monde, qui vient d’être installé, à la demande du maire, dans la commune d’Uki, au sud du pays.",,B2,B2,B2
492,"Quand j’ai commencé, je n’avais aucune idée des difficultés que j’allais rencontrer.",,B2,B2,B2
493,Et je ne savais même pas que j’allais faire du combustible à partir de ce déchet.,,B2,B2,B2
494,"Si je l’avais su dès le départ, la montagne aurait été nettement plus facile à gravir.",,B2,B2,B2
495,"On a un objectif final, un sommet à atteindre, et ça, ça change tout.",,B2,B2,B2
496,"Aujourd’hui, la méthode est bien rodée.",,B1,B1,B1
497,"Quand les couches-culottes usagées des maisons de retraite arrivent ici, elles sont jetées dans cette machine.",,B2,B2,B2
498,"Une fois déchiquetées et séchées, elles sont alors agglomérées en petits cylindres appelés « palettes ».",,B2,B2,B2
499,"Ce combustible, majoritairement composé de cellulose et de plastique, permet de chauffer plusieurs installations, dont le spa de la ville.",,B2,B2,B2
500,"Si le concept que j’ai initié se développe, et si demain un concurrent réussit mieux que moi, je serai content, parce qu’à mes yeux, l’important, c’est d’avoir été le premier à commencer ce business.",,B2,B2,B2
501,"Et croyez-moi, ça va devenir un gros business dans les années à venir.",,B2,B2,B2
502,"Alors, prêts à suivre les pas de cet activiste passionné ?",,B2,B2,B2
503,Sachant que nous jetons 20 milliards de couches-culottes tous les ans dans le monde.,,B2,B2,B2
504,"Tu sais qu’est-ce qu’on va semer en premier, là ?",,B2,B2,B2
505,"Ouais, on commence par la menthe ?",,B2,B2,B2
506,Bruno Boulianne et la petite Lila plantent des graines de fines herbes.,,B2,B2,B2
507,"La famille cultive un potager dans sa cour depuis plusieurs années, mais c’est la première fois qu’elle expérimente les semis intérieurs.",,B2,B2,B2
508,"Confinement oblige, j’avais du temps pour travailler à la maison, pour faire des semis à la maison, et avec les enfants.",,B2,B2,B2
509,"Je me suis concentré sur les pousses rapides : laitue, kale, chou kale, chou frisé.",,B2,B2,B2
510,"En ce printemps de confinement, les Québécois ont été nombreux à se ruer sur les semis, par crainte que les serres ne restent fermées.",,B2,B2,B2
511,"Les entreprises qui en vendent ont été littéralement dévalisées, avec notamment explosion des commandes par téléphone, et en ligne.",,B2,B2,B2
512,"Ça a décuplé, c’est l’explosion !",,B2,B2,B2
513,On s’est fait vider au niveau des semences.,,B2,B2,B2
514,"Les grainetiers, les grands grainetiers québécois n’ont plus de stock, et donc l’approvisionnement est rendu difficile.",,B2,B2,B2
515,"On a reçu autant de commandes en un mois que toute l’année complète, l’année passée.",,B2,B2,B2
516,"L’engouement pour les potagers s’inscrit dans le mouvement du développement de l’autonomie alimentaire, un mouvement accentué par cette crise du coronavirus.",,B2,B2,B2
517,"C’est le retour aux sources : les gens veulent faire leur potager, veulent partir de leurs propres légumes et veulent choisir lesquels, et là, le phénomène va vraiment être là pour durer et se prolonger pour les prochaines années.",,B2,B2,B2
518,"Il y a une ruée vers : « devenons un peu plus indépendants, moins dépendants des magasins, de l’importation, des grandes surfaces », donc une espèce de retour au savoir-faire artisan, un peu de nos ancêtres, de nos parents, de nos grands-parents.",,B2,B2,B2
519,"La petite famille va mettre en terre les plants, dès que la météo le permettra.",,B2,B2,B2
520,"Et pour ceux qui n’ont pas cultivé de semis, il sera possible d’aller acheter tomates et autres légumes.",,B2,B2,B2
521,"Les serres ont pris toutes les mesures nécessaires pour que le magasinage se fasse dans le respect des consignes, avec lavage des mains et les deux mètres de distanciation.",,B2,B2,B2
522,"Après l’ouverture en juin 2007 de l’enregistrement des entreprises via Internet, le greffe du
  tribunal de commerce de Paris lance les formalités de modification en ligne (statut, adresse,
  coordonnées, effectif, capital…) des entreprises.",,B2,B2,B2
523,"Aujourd’hui le « greffe électronique » est à la
  disposition des entrepreneurs.",,B2,B2,B2
524,"Toute formalité de modification nécessite la réalisation de démarches avant la réalisation du
  dossier ainsi que la préparation des pièces justificatives et des documents à joindre au dossier.",,B2,B2,B2
525,"Pour éviter un oubli, vous pouvez consulter le « Guide des formalités » en ligne.",,B2,B2,B2
526,"Vous pouvez également poser une question en ligne aux juristes du greffe qui vous répondent
  très rapidement.",,B2,B2,B2
527,"Une fois que vous vous êtes muni des pièces et documents demandés, vous les scannez et
  les enregistrez sous format numérique.",,B2,B2,B2
528,"Attention, vous devez certifier conformes la « version
  papier » des statuts de votre entreprise et celle de votre pièce d’identité, puis vous devez les
  signer de façon manuscrite avant de les scanner.",,C1,C1,C1
529,"Quand vous disposez de tous vos fichiers numérisés, vous pouvez effectuer la formalité en ligne
  en remplissant le formulaire interactif que vous validerez en fin de saisie.",,B2,B2,B2
530,"Vous joindrez à votre
  formulaire les pièces justificatives et documents sous format numérique.",,B2,B2,B2
531,"Vous procéderez au
  paiement sécurisé en ligne de l’opération.",,B2,B2,B2
532,"Enfin, vous signerez avec votre certificat électronique
  l’ensemble de ces éléments avant de cliquer sur « envoi ».",,B2,B2,B2
533,Aussitôt que le registre du commerce aura reçu le dossier de modification.,,B2,B2,B2
534,Le délai est d’un maximum de 24 h comme l’impose le texte de loi de 1984.,,B2,B2,B2
535,"Toujours moins de papier, un accès toujours plus simple et rapide, tel est l’objectif global
  poursuivi au quotidien par les greffiers du tribunal de commerce de Paris, qui en plein accord
  avec la volonté ministérielle de faciliter la vie de l’entrepreneur, franchissent à nouveau une
  étape.",,C1,C1,C1
536,"L’accès par voie électronique de l’ensemble des formalités au
  registre du commerce et des sociétés.",,B2,B2,B2
537,"Nous sommes confrontés à la fin de notre modèle de grand groupe pharmaceutique
  et, comme nos concurrents, nous devons faire appel à la sous-traitance, tout en voulant
  garder le contrôle de toute la chaîne de notre activité.",,B2,B2,B2
538,"Aujourd’hui, plus aucun grand
  laboratoire de médicaments ne peut rester isolé.",,B2,B2,B2
539,"L’environnement pharmaceutique
  international se durcit.",,B2,B2,B2
540,"Nous assistons à la montée des médicaments génériques et il
  devient difficile de renouveler les produits.",,B2,B2,B2
541,"De plus, les agences nationales réglementaires
  de notre pays exigent de nous davantage de qualité, de sécurité et de fiabilité.",,B2,B2,B2
542,"Pour faire face à toutes ces transformations, nous vous proposons de nous recentrer sur
  nos compétences clés : la recherche de nouveaux médicaments et la commercialisation
  de tous nos produits pharmaceutiques.",,C1,C1,C1
543,"Pour notre entreprise, externaliser, c’est se
  concentrer sur nos activités principales, recherche et commercialisation, que nous
  maîtrisons parfaitement et faire réaliser par des intervenants extérieurs les activités de
  production et les essais cliniques.",,C1,C1,C1
544,"Tout d’abord, en externalisant la chaîne de production, nous diminuerons les coûts
  d’investissement pour la production et les frais de stockage des produits.",,B2,B2,B2
545,"En outre, nous
  espérons réduire les délais de commande en exigeant des sous-traitants une très grande
  réactivité.",,B2,B2,B2
546,"D’autre part, nous projetons d’externaliser en partie les essais cliniques pour
  deux raisons.",,B2,B2,B2
547,"Premièrement, les agences réglementaires nationales exigent un nombre
  de patients testés toujours plus grand.",,B2,B2,B2
548,"Ensuite, nous pouvons difficilement prévoir la
  quantité d’essais à gérer en parallèle.",,B2,B2,B2
549,"C’est pourquoi, si près de 50 % de nos essais sont
  sous-traités, nous gagnerons en souplesse et éviterons la baisse momentanée de nos
  effectifs.",,B2,B2,B2
550,"Nous savons tous que, quand la fabrication d’un médicament s’arrête pour des
  raisons sanitaires, nous devons licencier à chaque fois une partie de nos équipes.",,B2,B2,B2
551,"Dernier point : il reste à décider si nous externalisons la totalité de nos 19 centres de recherche
  clinique dans le monde ou seulement certains d’entre eux pour continuer à maîtriser la
  qualité et la sécurité de toute la chaîne de notre activité.",,C1,C1,C1
552,"Bien entendu, nous sommes conscients des inconvénients que cela peut entraîner :
  en s’adressant à des sous-traitants, nous courons le risque de perdre une partie de nos
  secrets de fabrication et de voir surgir des problèmes dans la qualité du service rendu, tels
  que le non-respect du cahier des charges.",,C1,C1,C1
553,Nous prendrons toutes les mesures pour éviter que cela nuise au personnel et à notre image de marque.,,B2,B2,B2
554,"Nous nous engageons à vous tenir au
  courant des relations que nous aurons avec nos nouveaux partenaires.",,B2,B2,B2
555,"De toute façon, quels que soient le nombre et le type de sous-traitants, nous devons garder
  la maîtrise de toute la chaîne, puisque nous sommes responsables de nos médicaments.",,B2,B2,B2
556,"Il ne
  faut pas oublier que les contrôles se renforcent partout.",,B2,B2,B2
557,"En effet, l’industrie pharmaceutique
  est un métier où le contrôle de la qualité est essentiel.",,B2,B2,B2
558,"Nous devons rendre des comptes à
  l’ensemble des consommateurs et à notre politique nationale de santé.",,B2,B2,B2
559,"Paradoxalement,
  les obligations réglementaires très strictes facilitent le développement de la sous-traitance
  et renforceront par conséquent notre dynamisme économique.",,B2,B2,B2
560,Il y a des dettes publiques mais il y aussi beaucoup de créanciers privés.,,B2,B2,B2
561,Il y a essentiellement trois grandes catégories.,,B2,B2,B2
562,"Ce qu’on appelle les créanciers publics bilatéraux, c’est-à-dire les États.",,B2,B2,B2
563,"L’important, évidemment, pour les contribuables européens qui voudraient annuler leur dette, c’est que chacun des créditeurs, des créanciers soit traité de la même façon.",,B2,B2,B2
564,"L’ordre de grandeur pour le moment, par exemple pour l’Afrique est environ 350 milliards d’euros de dette à l’égard de ses créanciers.",,B2,B2,B2
565,"Ça, c’est les ordres de grandeur.",,B1,B2,B2
566,"Tout ce que font nos experts, c’est de négocier pour s’assurer que l’ensemble des créanciers ont des traitements  comparables.",,B2,B2,B2
567,la Chine ne veut pas toujours jouer le jeu et pourtant est un créancier majeur sur le continent.,,B2,B2,B2
568,Est-ce qu’elle va accepter de rentrer dans cette négociation ?,,B2,B2,B2
569,Et c’est tout l’objetdes discussions qui se passent en ce moment.,,B2,B2,B2
570,Il y a eu quand même des points très importants.,,B1,B2,B2
571,"Quand le G20 du 15 avril décide le moratoire, c’est la première fois que la Chine acceptait, dans un cadre multilatéral, de participer à un moratoire.",,C1,B2,B2
572,"Et aujourd’hui, dans les discussions techniques sur des groupes de travail du G20, la Chine participe et bien.",,B2,B2,B2
573,"Alors, est-ce qu’elle donne la totalité de ses chiffres ?",,B2,B2,B2
574,"Sans doute pas, mais je veux dire que la discussion continue, et la Chine donne en plus de plus en plus la… augmente le montant des chiffres qui sont soumis au moratoire.",,B2,B2,B2
575,C’est les discussions d’aujourd’hui.,,A2,A2,A2
576,"Mais vous avez peut-être vu également, le communiqué indique que les ministres des Finances se sont mis d’accord.",,B2,B2,B2
577,Il faut admettre avec un égal intérêt ces théories d'art si différentes et juger les oeuvres qu'elles produisent uniquement au point de vue de leur valeur artistique en acceptant a priori les idées générales d'où elles sont nées.,,C1,C1,C1
578,"Contester le droit d'un écrivain de faire une oeuvre poétique ou une oeuvre réaliste, c'est vouloir le forcer à modifier son tempérament, récuser son originalité, ne pas lui permettre de se servir de l'oeil et de l'intelligence que la nature lui a donnés.",,C1,C1,C1
579,"Lui reprocher de voir les choses belles ou laides, petites ou épiques, gracieuses ou sinistres, c'est lui reprocher d'être conformé de telle ou telle façon et de ne pas avoir une vision concordant avec la nôtre.",,C1,C1,C1
580,"Laissons-le libre de comprendre, d'observer, de concevoir comme il lui plaira, pourvu qu'il soit un artiste.",,C1,C1,C1
581,"Devenons poétiquement exaltés pour juger un idéaliste et prouvons-lui que son rêve est médiocre, banal, pas assez fou ou magnifique.",,C1,C1,C1
582,"Mais si nous jugeons un naturaliste, montrons-lui en quoi la vérité dans la vie diffère de la vérité dans son livre.",,C1,C1,C1
583,Il est évident que des écoles si différentes ont dû employer des procédés de composition absolument opposés.,,C1,C1,C1
584,"Le romancier qui transforme la vérité constante, brutale et déplaisante, pour en tirer une aventure exceptionnelle et séduisante, doit, sans souci exagéré de la vraisemblance, manipuler les événements à son gré; les préparer et les arranger pour plaire au lecteur, l'émouvoir ou l'attendrir.",,C1,C1,C1
585,Le plan de son roman n'est qu'une série de combinaisons ingénieuses conduisant avec adresse au dénouement.,,C1,C1,C1
